"Project","Path","TotalWarnings","Status"
"Qwiq.Core","src/Qwiq.Core/Qwiq.Core.csproj","208","⚠️ Needs work"
"Qwiq.Client.Rest","src/Qwiq.Core.Rest/Qwiq.Client.Rest.csproj","8","⚠️ Needs work"
"Qwiq.Client.Soap","src/Qwiq.Core.Soap/Qwiq.Client.Soap.csproj","272","⚠️ Needs work"
"Qwiq.Identity","src/Qwiq.Identity/Qwiq.Identity.csproj","0","✅ Complete"
"Qwiq.Identity.Soap","src/Qwiq.Identity.Soap/Qwiq.Identity.Soap.csproj","4","⚠️ Needs work"
"Qwiq.Linq","src/Qwiq.Linq/Qwiq.Linq.csproj","0","✅ Complete"
"Qwiq.Linq.Identity","src/Qwiq.Linq.Identity/Qwiq.Linq.Identity.csproj","0","✅ Complete"
"Qwiq.Mapper","src/Qwiq.Mapper/Qwiq.Mapper.csproj","2","⚠️ Needs work"
"Qwiq.Mapper.Identity","src/Qwiq.Mapper.Identity/Qwiq.Mapper.Identity.csproj","2","⚠️ Needs work"
"Qwiq.Mocks","test/Qwiq.Mocks/Qwiq.Mocks.csproj","12","⚠️ Needs work"
